gene_name,max(statistic),min(pValue),max(delta_af_abs)
LGALS13,14.750740665438842,1.226993171796753E-4,0.04222200000000001
SNORD92,5.984754830826602,0.014430048241337312,0.03056600000000001
PGAM2,8.889036133430762,0.002868881420476699,0.05420999999999998
MIR106A-CCDC160,14.750740665438842,1.226993171796753E-4,0.05904299999999996
NDFIP2-LINC01068,15.032430775725944,1.0567944076611546E-4,0.04323900000000001
MIR4508,8.889036133430762,0.002868881420476699,0.03749899999999998
DYNLRB2,11.598198381190523,6.601574109210695E-4,0.06102099999999999
KRIT1,16.01028763546898,6.299922337582586E-5,0.05690099999999998
MIR1268A-SET,14.750740665438842,1.226993171796753E-4,0.04591599999999996
LINC01343,7.87451021790475,0.005013644874501733,0.056586000000000025
KLK14-CTU1,14.750740665438842,1.226993171796753E-4,0.034410000000000024
ZNF197,14.750740665438842,1.226993171796753E-4,0.050969
PRSS50,5.984754830826602,0.014430048241337312,0.06384899999999999
ACAP2-PPP1R2,14.809684331824005,1.1892322516637854E-4,0.05769800000000003
RELL2,5.984754830826602,0.014430048241337312,0.05957899999999999
DERL1-TBC1D31,12.64998824293764,3.7556803931615423E-4,0.07952999999999999
CDK16,6.583827333453649,0.010290938630417523,0.06600499999999998
OR6C74,2.9588102160444847,0.08541076822128357,0.03559000000000001
SNORD116-13,1.7617722920263619,0.18440360928000588,0.04466700000000001
SLC25A31-HSPA4L,3.1629395915933842,0.07532743069871928,0.01871499999999998
PGPEP1-GDF15,6.992186790191597,0.008186627357540277,0.06767999999999999
SNORA105B,3.9862510709715835,0.04587302252532244,0.05790299999999998
CAV1-LINC01510,3.990823706850296,0.04574869418902816,0.03469800000000001
SOAT2-CSAD,14.731562053468624,1.2395379533169937E-4,0.03421800000000001
INTS2-MED13,4.277622123214089,0.038617337361321225,0.016971000000000003
COPRS-UTP6,4.0235123804171975,0.04487017500092294,0.02256
ZNF786-ZNF425,5.984754830826602,0.014430048241337312,0.03590700000000002
RRP7BP-POLDIP3,4.585388260011761,0.03224566506859272,0.06533299999999997
